"unit of measure code","unit of measure name","unit of measure symbol","unit of measure dimension code","measurement system code","CFIHOS unique id","synonym","created date","modified date","terminated date","change request number","status"
"KPB","kilopascal absolute","kPa(a)","PRESS","SI","CFIHOS-60000743",,"2017-02-13T20:14:08.497Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"KPG","kilopascal gauge","kPa(g)","PRESS","SI","CFIHOS-60000744",,"2017-02-13T20:14:08.497Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"KVT","kilovolt","kV","VOLTAG",,"CFIHOS-60001456",,"2017-02-13T20:14:08.497Z","2019-06-28T12:09:09.344Z",,"CR0022","STANDARD"
"KVA","kilovolt-ampere","kVA","POWER",,"CFIHOS-60001457",,"2017-02-13T20:14:08.497Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"KWT","kilowatt","kW","POWER","SI","CFIHOS-60001458",,"2017-02-13T20:14:08.497Z","2019-06-28T12:09:09.344Z",,"CR0022","STANDARD"
"LTR","litre","l","VOLUME","SI","CFIHOS-60001459",,"2019-03-06T10:03:24.828Z","2019-06-28T12:09:09.344Z",,"CR0022","STANDARD"
"LD","litre per day","l/d","VOLFLO","SI","CFIHOS-60000747",,"2019-03-06T10:03:24.828Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"E32","litre per hour","l/h","VOLFLO","SI","CFIHOS-60000748",,"2019-03-06T10:03:24.828Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"L2","litre per minute","l/m","VOLFLO","SI","CFIHOS-60000749",,"2019-03-06T10:03:24.828Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"G51","litre per second","l/s","VOLFLO","SI","CFIHOS-60001460",,"2019-03-06T10:03:24.828Z","2019-06-28T12:09:09.344Z",,"CR0022","STANDARD"
"MTR","metre","m","LENGTH","SI","CFIHOS-60001461",,"2017-02-13T20:14:08.497Z","2019-06-28T12:09:09.344Z",,"CR0022","STANDARD"
"MTS","metre per second","m/s","SPEED","SI","CFIHOS-60001465",,"2017-02-13T20:14:08.497Z","2019-06-28T12:09:09.344Z",,"CR0022","STANDARD"
"D19","metre squared kelvin per watt","m².K/W","THINSU","SI","CFIHOS-60001467",,"2019-03-06T10:03:24.828Z","2020-11-30T08:13:46.930Z",,"CR0022;CR0025;CR0032","STANDARD"
"HJ","metric horse power","metric hp","POWER",,"CFIHOS-60001444",,"2017-02-13T20:13:15.887Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"TNE","metric tonne","t","MASS","SI","CFIHOS-60001482",,"2019-03-06T10:03:24.828Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"F59","milliampere/bar","mA/bar","LECURD","SI","CFIHOS-60000788",,"2019-03-06T10:03:24.828Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"MBS","millibar absolute","mbar(a)","PRESS","SI","CFIHOS-60000794",,"2019-03-06T10:03:24.828Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"NA","milligram per kilogram","mg/kg","MPROPO","SI","CFIHOS-60001468",,"2019-03-06T10:03:24.828Z","2019-06-28T12:09:09.344Z",,"CR0022","STANDARD"
"MMT","millimetre","mm","LENGTH","SI","CFIHOS-60001469",,"2017-02-13T20:14:08.497Z","2019-06-28T12:09:09.344Z",,"CR0022","STANDARD"
"MMW","millimetre of water at 4°c","mmH2O","PRESS","SI","CFIHOS-60000810",,"2019-03-06T10:03:24.828Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"M6D","million standard cubic metre per day","Msm³/d","VOLFLO","SI","CFIHOS-60000821",,"2019-03-06T10:03:24.828Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"C24","millipascal-second","mPa.s","VISDYN","SI","CFIHOS-60001472",,"2017-02-13T20:14:08.497Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"MIN","minute","min","TIME",,"CFIHOS-60001473",,"2019-03-06T10:03:24.828Z","2019-06-28T12:09:09.344Z",,"CR0022","STANDARD"
"MON","month","mo","TIME",,"CFIHOS-65000004",,"2021-09-29T09:18:19.089Z","2021-09-29T09:18:19.089Z",,"FR14","STANDARD"
"NEW","newton","N","FORCE","SI","CFIHOS-60001474",,"2019-03-06T10:03:24.828Z","2019-06-28T12:09:09.344Z",,"CR0022","STANDARD"
"Nm3/h","newton metre cubed per hour","Nm3/h",,"SI","CFIHOS-60000859",,"2019-03-06T10:03:24.828Z","2019-04-29T16:10:12.971Z","2019-04-29T16:10:12.971Z","CR0022;CR0025","TERMINATED"
"4P","newton per metre","N/m","SURFTE","SI","CFIHOS-60001475",,"2019-03-06T10:03:24.828Z","2019-06-28T12:09:09.344Z",,"CR0022","STANDARD"
"M93","newton-metre per radian","N.m/rad","MOMFOR","SI","CFIHOS-60000858",,"2019-03-06T10:03:24.828Z","2020-11-30T08:13:46.930Z",,"CR0022;CR0025;CR0032","STANDARD"
"OHM","ohm","Ohm","RESIST",,"CFIHOS-60001476",,"2017-02-13T20:14:08.497Z","2019-06-28T12:09:09.344Z",,"CR0022","STANDARD"
"59W","parts per million (mass)","ppm","MPROPO",,"CFIHOS-60000982",,"2017-02-13T20:14:08.497Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"P1","percent","%","RATIO",,"CFIHOS-60000001",,"2017-02-13T20:14:08.497Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"VP","percent (volume)","% (v)","VPROPO",,"CFIHOS-65000000",,"2019-04-30T12:39:41.267Z","2019-07-01T19:18:22.258Z",,"CR0025","STANDARD"
"H87","piece","pce","COUNT",,"CFIHOS-60000932",,"2017-02-13T20:14:08.497Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"LBR","pound","lb","MASS","Imperial","CFIHOS-60001413",,"2017-02-13T20:13:15.887Z","2019-06-28T12:09:09.344Z",,"CR0022","STANDARD"
"87","pound per cubic foot","lb/ft³","DENSI","Imperial","CFIHOS-60001477",,"2017-02-13T20:13:15.887Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"4U","pound per hour","lb/h","MASFLO","Imperial","CFIHOS-60001478",,"2017-02-13T20:13:15.887Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"LBS","pound per second","lb/s","MASFLO","Imperial","CFIHOS-60001479",,"2019-03-06T10:03:24.828Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"PSA","pound per square inch absolute","psia","PRESS","Imperial","CFIHOS-60001010",,"2017-02-13T20:13:15.887Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"64","pound per square inch gauge","psig","PRESS","Imperial","CFIHOS-60001011",,"2017-02-13T20:13:15.887Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"RPM","revolution per minute","rpm","ANGVEL",,"CFIHOS-60001480",,"2017-02-13T20:14:08.497Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"SEC","second","s","TIME",,"CFIHOS-60001481",,"2019-03-06T10:03:24.828Z","2019-06-28T12:09:09.344Z",,"CR0022","STANDARD"
"FTK","square foot","ft²","SURFAC","Imperial","CFIHOS-60001442",,"2017-02-13T20:13:15.887Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
"MTK","square metre","m²","SURFAC","SI","CFIHOS-60001466",,"2017-02-13T20:14:08.497Z","2019-06-28T12:09:09.344Z",,"CR0022;CR0025","STANDARD"
