"tag class name","discipline document type short code","document type name","requirement standard source code","created date","modified date","terminated date","change request number","status"
"NRA ball valve","NA4354","spare part list","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRA ball valve","OA4811","operating manual","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRA ball valve","VA1453","regulatory compliance certificate","ARC","2019-04-23T15:26:38.996Z","2020-11-27T14:59:17.719Z","2020-11-27T14:59:17.719Z","CR0002","TERMINATED"
"NRA butterfly valve","NA4354","spare part list","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRA butterfly valve","OA4811","operating manual","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRA butterfly valve","VA1453","regulatory compliance certificate","ARC","2019-04-23T15:26:38.996Z","2020-11-27T14:59:22.313Z","2020-11-27T14:59:22.313Z","CR0002","TERMINATED"
"NRA choke valve","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRA eccentric rotating disc valve","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRA gate valve","NA4354","spare part list","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRA gate valve","OA4811","operating manual","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRA gate valve","VA1453","regulatory compliance certificate","ARC","2019-04-23T15:26:38.996Z","2020-11-27T14:59:26.692Z","2020-11-27T14:59:26.692Z","CR0002","TERMINATED"
"NRA multi way plug valve","NA4354","spare part list","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRA multi way plug valve","OA4811","operating manual","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRA multi way plug valve","VA1453","regulatory compliance certificate","ARC","2019-04-23T15:26:38.996Z","2020-11-27T14:59:32.290Z","2020-11-27T14:59:32.290Z","CR0002","TERMINATED"
"NRA multiple orifice valve","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRA piston check valve","NA4354","spare part list","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRA piston check valve","OA4811","operating manual","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRA piston check valve","VA1453","regulatory compliance certificate","ARC","2019-04-23T15:26:38.996Z","2020-11-27T14:59:36.332Z","2020-11-27T14:59:36.332Z","CR0002","TERMINATED"
"NRA plug valve","NA4354","spare part list","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRA plug valve","OA4811","operating manual","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRA plug valve","VA1453","regulatory compliance certificate","ARC","2019-04-23T15:26:38.996Z","2020-11-27T14:59:40.740Z","2020-11-27T14:59:40.740Z","CR0002","TERMINATED"
"NRA swing check valve","NA4354","spare part list","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRA swing check valve","OA4811","operating manual","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRA swing check valve","VA1453","regulatory compliance certificate","ARC","2019-04-23T15:26:38.996Z","2020-11-27T14:59:44.761Z","2020-11-27T14:59:44.761Z","CR0002","TERMINATED"
"NRA wafer check valve","NA4354","spare part list","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRA wafer check valve","OA4811","operating manual","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRA wafer check valve","VA1453","regulatory compliance certificate","ARC","2019-04-23T15:26:38.996Z","2020-11-27T14:59:49.330Z","2020-11-27T14:59:49.330Z","CR0002","TERMINATED"
"NRM ball valve","NA4354","spare part list","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRM ball valve","OA4811","operating manual","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRM ball valve","VA1453","regulatory compliance certificate","ARC","2019-04-23T15:26:38.996Z","2020-11-27T14:59:53.748Z","2020-11-27T14:59:53.748Z","CR0002","TERMINATED"
"NRM butterfly valve","EA8880","wiring diagram","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRM butterfly valve","MP4018","general arrangement diagram","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRM butterfly valve","NA4354","spare part list","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRM butterfly valve","OA4811","operating manual","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRM butterfly valve","VA1453","regulatory compliance certificate","ARC","2019-04-23T15:26:38.996Z","2020-11-27T14:59:58.189Z","2020-11-27T14:59:58.189Z","CR0002","TERMINATED"
"NRM choke valve","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRM eccentric rotating disc valve","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRM gate valve","NA4354","spare part list","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRM gate valve","OA4811","operating manual","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRM gate valve","VA1453","regulatory compliance certificate","ARC","2019-04-23T15:26:38.996Z","2020-11-27T15:00:02.340Z","2020-11-27T15:00:02.340Z","CR0002","TERMINATED"
"NRM multi way plug valve","NA4354","spare part list","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRM multi way plug valve","OA4811","operating manual","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRM multi way plug valve","VA1453","regulatory compliance certificate","ARC","2019-04-23T15:26:38.996Z","2020-11-27T15:00:06.617Z","2020-11-27T15:00:06.617Z","CR0002","TERMINATED"
"NRM multiple orifice valve","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRM piston check valve","NA4354","spare part list","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRM piston check valve","OA4811","operating manual","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRM piston check valve","VA1453","regulatory compliance certificate","ARC","2019-04-23T15:26:38.996Z","2020-11-27T15:00:12.146Z","2020-11-27T15:00:12.146Z","CR0002","TERMINATED"
"NRM plug valve","NA4354","spare part list","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRM plug valve","OA4811","operating manual","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRM plug valve","VA1453","regulatory compliance certificate","ARC","2019-04-23T15:26:38.996Z","2020-11-27T15:00:16.945Z","2020-11-27T15:00:16.945Z","CR0002","TERMINATED"
"NRM swing check valve","NA4354","spare part list","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRM swing check valve","OA4811","operating manual","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRM swing check valve","VA1453","regulatory compliance certificate","ARC","2019-04-23T15:26:38.996Z","2020-11-27T15:00:21.137Z","2020-11-27T15:00:21.137Z","CR0002","TERMINATED"
"NRM wafer check valve","NA4354","spare part list","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRM wafer check valve","OA4811","operating manual","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"NRM wafer check valve","VA1453","regulatory compliance certificate","ARC","2019-04-23T15:26:38.996Z","2020-11-27T15:00:24.840Z","2020-11-27T15:00:24.840Z","CR0002","TERMINATED"
"net oil computer","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"ORP element","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"PABX","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-07-26T10:33:24.069Z","2019-07-26T10:33:24.069Z","CR0028","TERMINATED"
"RA ball valve","NA4354","spare part list","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"RA ball valve","OA4811","operating manual","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"RA ball valve","VA1453","regulatory compliance certificate","ARC","2019-04-23T15:26:38.996Z","2020-11-27T15:00:28.685Z","2020-11-27T15:00:28.685Z","CR0002","TERMINATED"
"RA butterfly valve","EA8880","wiring diagram","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"RA butterfly valve","IN2305","assembly diagram","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"RA butterfly valve","NA4354","spare part list","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"RA butterfly valve","OA4811","operating manual","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"RA butterfly valve","VA1453","regulatory compliance certificate","ARC","2019-04-23T15:26:38.996Z","2020-11-27T15:00:32.833Z","2020-11-27T15:00:32.833Z","CR0002","TERMINATED"
"RA diaphragm valve","EA8880","wiring diagram","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"RA diaphragm valve","MP4018","general arrangement diagram","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"RA diaphragm valve","NA4354","spare part list","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"RA diaphragm valve","OA4811","operating manual","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"RA diaphragm valve","VA1453","regulatory compliance certificate","ARC","2019-04-23T15:26:38.996Z","2020-11-27T15:00:36.658Z","2020-11-27T15:00:36.658Z","CR0002","TERMINATED"
"RA eccentric rotating disc valve","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"RA globe valve","NA4354","spare part list","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"RA globe valve","OA4811","operating manual","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"RA globe valve","VA1453","regulatory compliance certificate","ARC","2019-04-23T15:26:38.996Z","2020-11-27T15:00:40.411Z","2020-11-27T15:00:40.411Z","CR0002","TERMINATED"
"RA needle valve","NA4354","spare part list","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"RA needle valve","OA4811","operating manual","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"RA needle valve","VA1453","regulatory compliance certificate","ARC","2019-04-23T15:26:38.996Z","2020-11-27T15:00:46.322Z","2020-11-27T15:00:46.322Z","CR0002","TERMINATED"
"RA plug valve","NA4354","spare part list","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"RA plug valve","OA4811","operating manual","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"RA plug valve","VA1453","regulatory compliance certificate","ARC","2019-04-23T15:26:38.996Z","2020-11-27T15:00:52.574Z","2020-11-27T15:00:52.574Z","CR0002","TERMINATED"
"RM ball valve","NA4354","spare part list","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"RM ball valve","OA4811","operating manual","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"RM needle valve","OA4811","operating manual","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"RM needle valve","VA1453","regulatory compliance certificate","ARC","2019-04-23T15:26:38.996Z","2020-11-27T15:01:15.948Z","2020-11-27T15:01:15.948Z","CR0002","TERMINATED"
"RM plug valve","NA4354","spare part list","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"RM plug valve","OA4811","operating manual","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"RM plug valve","VA1453","regulatory compliance certificate","ARC","2019-04-23T15:26:38.996Z","2020-11-27T15:01:19.703Z","2020-11-27T15:01:19.703Z","CR0002","TERMINATED"
"UV sterilizer","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"absolute pressure transmitter","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"accumulator","EA8880","wiring diagram","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"accumulator","MS4018","general arrangement diagram","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"accumulator","NA4354","spare part list","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"accumulator","OA4811","operating manual","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"accumulator","VA1453","regulatory compliance certificate","ARC","2019-04-23T15:26:38.996Z","2020-11-27T15:11:31.648Z",,"CR0032","STANDARD"
"aerator","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"agitator","MS4018","general arrangement diagram","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"agitator","NA4354","spare part list","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"agitator","OA4811","operating manual","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"agitator","VA1453","regulatory compliance certificate","ARC","2019-04-23T15:26:38.996Z","2020-11-27T15:11:36.986Z",,"CR0032","STANDARD"
"air balancing unit","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"air conditioner","EA2305","assembly diagram","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"air conditioner","EA3328","installation manual","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"air conditioner","EA8880","wiring diagram","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"air conditioner","NA4354","spare part list","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"air conditioner","NA4810","maintenance manual","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"air conditioner","OA4811","operating manual","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"air cooled heat exchanger","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"air handling unit","EA8880","wiring diagram","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"air handling unit","MH4018","general arrangement diagram","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"air handling unit","MX3328","installation manual","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"air handling unit","NA4354","spare part list","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"ignitor","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"incinerator","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"indicating instrument","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"CR0014","STANDARD"
"intercom","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"interlocking device","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"isolator","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"junction box","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"keyboard","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"lamp","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"lantern lamp","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0012","TERMINATED"
"lathe","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"life boat","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"life buoy","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"life buoy light","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"life raft","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"liquid composition analyser","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"liquid detector","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"liquid ring compressor","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0009","TERMINATED"
"load bank","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0012","TERMINATED"
"load cell","EA8880","wiring diagram","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"load cell","NA4354","spare part list","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"load cell","OA4811","operating manual","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"loading arm","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"logic cap","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"loudspeaker","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"louvre","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"low-pass filter","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"luminaire","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"magnet","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0012","TERMINATED"
"magnetic level gauge","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"magnetic level transmitter","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z","CR0002","TERMINATED"
"manifold","NA4354","spare part list","CFIHOS","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"manual call point","EA8880","wiring diagram","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"manual call point","OA4811","operating manual","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
"manual control switch","EA8880","wiring diagram","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"CR0002","STANDARD"
"manual control switch","OA4811","operating manual","ARC","2019-04-23T15:26:38.996Z","2019-04-23T15:26:38.996Z",,"V1.2","STANDARD"
